"Home","Beranda"
"Tôi muốn chuyển nếu có công việc/công ty tốt hơn","Saya ingin mengganti pekerjaan jika ada pekerjaan yang sesuai"
"Tôi muốn chuyển việc trong tương lai (sau 1 năm)","Saya Ingin mengganti pekerjaan nanti di masa depan (setelah 1 tahun)"
"Thông tin công việc","Informasi Pekerjaan"
"Yêu cầu công việc","Syarat yang dibutuhkan"
"Ngày đăng","tanggal"
"Địa điểm làm việc","lokasi Kerja"
"Cấp độ công việc","Tingkat Pekerjaan "
"Lương","Gaji"
"Thương lượng","Bisa Negosiasi"
"Loại hình","Tipe"
"Các công việc cùng ngành nghề","Pekerjaan di industri yang sama"
"Việc làm mới nhất","Pekerjaan Terbaru "
"Tìm việc theo ngành nghề","Cari pekerjaan berdasarkan industri"
"Tìm việc theo chức năng","Cari pekerjaan berdasarkan fungsi"
"Tìm việc theo đối tượng","Cari pekerjaan berdasarkan tingkat/lama pengalaman"
"Tìm việc theo địa điểm","Cari pekerjaan berdasarkan lokasi"
"Nhập chức danh, ngành nghề, từ khóa...","Masukkan judul, industri, kata kunci..."
"Địa điểm","Lokasi"
"Tìm kiếm","Cari"
"Feature tags","Tag Fitur"
"Kết Quả Tìm Kiếm Việc Làm %s","Hasil Pencarian Pekerjaan %s"
"Từ khóa","Kata Kunci"
"Hiển thị <span>%s</span> việc làm","Tampilkan <span>%s</span> Pekerjaan"
"Không tìm thấy việc làm phù hợp. Bạn vui lòng thử lại.","Tidak dapat menemukan pekerjaan yang sesuai. Silakan coba lagi."
"Sơ đồ trang","Peta Situs"
"Tìm kiếm việc làm","Cari Pekerjaan"
"BLOG CATEGORY","KATEGORI BLOG"
"All categories","Semua Kategori"
"Nhập từ khóa","Masukkan kata kunci"
"Bài viết mới nhất","Blog terbaru"
"Newest","Terbaru"
"Popular","Populer"
"No result","Tidak ditemukan"
"Bạn đã đăng xuất","Anda sudah Keluar"
"Bạn đã đăng xuất và sẽ chuyển tới Home trong 5 giây nữa.","Anda sudah keluar dan akan masuk ke beranda dalam 5 detik"
"Bạn đã quên mật khẩu?","Lupa password?"
"Nếu có tài khoản đăng ký với email <strong>%s</strong>, bạn sẽ nhận được email để thiết lập lại mật khẩu.","Jika terdapat akun yang sudah terdaftar dengan email  <strong>%s</strong>, anda akan menerima email untuk mengatur ulang password anda."
"Vui lòng kiểm tra email của bạn.","Silakan cek kotak masuk email anda."
"Change Account Password","Perubahan Password Akun"
"Current Password","Password saat ini"
"New Password","Password baru"
"Confirm New Password","Konfirmasi Password baru"
"* Required Fields","* Wajib diisi"
"Back","Kembali"
"Save Password","Simpan Password"
"Bạn đã quên mật khẩu?","Anda lupa password akun anda?"
"Thông tin mật khẩu sẽ được gửi đến email của bạn.","Informasi password anda akan dikirim ke email anda."
"Đăng nhập vào tài khoản","Login ke akun anda"
"Mật khẩu","Password"
"Quên mật khẩu?","Lupa password?"
"Nếu bạn chưa có tài khoản trên <a title=""IconicID"" href=""/"">iconicid.com</a>, hãy tạo ngay một tài khoản hoàn toàn miễn phí:","Jika anda tidak memiliki akun di <a title=""IconicID"" href=""/"">iconicid.com</a>, Silakan buat akun Gratis:"
"Tạo tài khoản mới","Buat akun baru"
"Đăng ký thành viên mới","Daftar sebagai anggota baru"
"Xác nhận lại mật khẩu","Konfirmasikan password anda"
"Chọn giới tính","Gender"
"Nam","Pria"
"Nữ","Wanita"
"Năm sinh","Tanggal Lahir"
"Nơi cư trú","Alamat"
"Bạn đã đăng ký thành công.Để kích hoạt tài khoản của bạn, vui lòng nhấn vào đường dẫn trong email ICONIC gửi đến bạn.","Anda sudah berhasil registrasi. Untuk mengaktifkan akun anda, silakan klik tautan pada email yang dikirim ICONIC."
"Nếu bạn không nhận được email kích hoạt vui lòng kiểm tra <strong>Hộp thư Bulk/Spam</strong>.","Jika anda belum menerima email, mohon cek folder  <strong>Bulk/Spam</strong> juga."
"Trở về <a title=""Home"" href=""/"">Home</a> hoặc <a href=""/%s"" title=""Đăng nhập"">Đăng nhập</a> lại.","Kembali ke <a title=""Beranda"" href=""/"">Beranda</a> atau <a href=""/%s"" title=""Masuk"">Masuk</a> kembali."
"Đổi lại mật khẩu","Reset password anda"
"Email này đã được dùng để đăng ký. hãy bấm vào <a href=""%s"">đây</a> để lấy lại mật khẩu và quyền truy cập tài khoản.","Email ini sudah terdaftar. Klik <a href=""%s"">di sini</a> untuk mengatur ulang password dan mengakses akun anda"
"Liên hệ ứng tuyển","Kirim Aplikasi/Lamaran"
"Bạn đã ứng tuyển thành công!","Anda telah berhasil mengirim aplikasi/lamaran "
"Email của bạn đã được gửi thành công. Cảm ơn.","Email anda sudah berhasil dikirim. Terima kasih!"
"Đã có lỗi xảy ra. Xin vui lòng thử lại sau.","Terdapat kesalahan. Silakan coba lagi setelah beberapa saat!"

