"Nam","Male"
"Nữ","Female"
"Năm sinh","Birth"
"Nơi cư trú","Address"
"Bạn đã đăng ký thành công.Để kích hoạt tài khoản của bạn, vui lòng nhấn vào đường dẫn trong email ICONIC gửi đến bạn.","You've registered successfully. To active your account, please click on the link on the email which ICONIC sent to you."
"Nếu bạn không nhận được email kích hoạt vui lòng kiểm tra <strong>Hộp thư Bulk/Spam</strong>.","If you still didn't receive any email, please check <strong>Bulk/Spam</strong> also."
"Trở về <a title=""Home"" href=""/"">Home</a> hoặc <a href=""/%s"" title=""Đăng nhập"">Đăng nhập</a> lại.","Back to <a title=""Home"" href=""/"">Home</a> or <a href=""/%s"" title=""Login"">Login</a> again."
"Đổi lại mật khẩu","Reset your password"
"Email này đã được dùng để đăng ký. hãy bấm vào <a href=""%s"">đây</a> để lấy lại mật khẩu và quyền truy cập tài khoản.","This email has been used for register. Click <a href=""%s"">here</a> to reset your password and access your account"
"Liên hệ ứng tuyển","Apply"
"Bạn đã ứng tuyển thành công!","Your've applied successfully!"
"Email của bạn đã được gửi thành công. Cảm ơn.","Your email has been send successfully. Thank you!"
"Đã có lỗi xảy ra. Xin vui lòng thử lại sau.","There was an error occurred. Please try again later!"
